Date,Time,CC,Description,Price,Qty,Watch,Impl. Vol,Type,Strategy,Sub Type,Side,Product,RFQ,Add Deal,Undrl. Bid,Undrl. Offer,Δ,Category
10/8/2020,11:21:21,GE3,Sep20 99.500 Put,1.5,250,,60.22,Trade,Put,Trade,,Eurodollar Option 3-Year MC,,,99.645,99.65,-0.18,Eurodollar and SOFR Options
10/9/2020,11:20:29,GE,Sep20 99.7500 STRD,3.5,400,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/10/2020,11:20:06,GE,Sep20 99.7500 STRD,3.5,35,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/11/2020,11:20:02,GE,Sep20 99.7500 STRD,3.5,65,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/12/2020,11:19:43,GE,Sep20 99.7500 STRD,3.5,35,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/13/2020,11:19:35,GE2,Dec20 99.375/99.500/100.000/100.125 CCONDR vs Eurodollar Future Dec22 99.735 -0.10d,11,500,,,Trade,CCONDR,Trade,,Eurodollar Option 2-Year MC,,,99.725,99.73,,Eurodollar and SOFR Options
10/14/2020,11:19:28,GE,Sep20 99.7500 STRD,3.5,214,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/15/2020,11:19:07,GE3,Sep20 99.500 Put,1.5,"1,000",,60.22,Trade,Put,Trade,,Eurodollar Option 3-Year MC,,,99.645,99.65,-0.18,Eurodollar and SOFR Options
10/16/2020,11:18:54,GE,Sep20 99.7500 STRD,3.5,101,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/17/2020,11:18:52,GE2,Oct20 99.500/99.125 PS,1,500,,,Trade,PS,Trade,,Eurodollar Option 2-Year MC,,,99.725,99.73,,Eurodollar and SOFR Options
10/18/2020,11:18:51,GE,Sep20 99.7500 STRD,3.5,150,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/19/2020,11:18:35,GE,Sep20 99.7500 STRD,3.5,400,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/20/2020,11:18:32,GE,Sep20 99.7500 STRD,3.5,100,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/21/2020,11:18:00,GE,Sep20 99.7500 STRD,3.5,250,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/22/2020,11:17:53,GE,Sep20 99.7500 STRD,3.5,50,,15.09,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
10/23/2020,11:17:36,GE,Sep20 99.7500 STRD,3.5,100,,15.09,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
10/24/2020,11:17:32,GE,Sep20 99.7500 STRD,3.5,500,,15.09,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
10/25/2020,11:17:13,GE,Sep20 99.7500 STRD,3.5,63,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/26/2020,11:17:08,GE,Sep20 99.7500 STRD,3.5,37,,14.74,Trade,STRD,Trade,,Eurodollar Option,,,99.765,99.7675,0.31,Eurodollar and SOFR Options
10/27/2020,11:16:49,GE,Sep20 99.7500 STRD,3.5,463,,15.09,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
10/28/2020,11:15:28,GE,Dec20 99.125 Call,59,50,,52.98,Trade,Call,Trade,,Eurodollar Option,,,99.71,99.715,0.97,Eurodollar and SOFR Options
10/29/2020,11:08:44,GE,Oct20/Jan21 99.750 STRD SPRD,3,150,,,Trade,STRD SPRD,Trade,,Eurodollar Option,,,99.79,99.795,,Eurodollar and SOFR Options
10/30/2020,11:02:59,GE0,Oct20 99.750/99.875 CS 1x2 vs Eurodollar Future Dec21 99.775 -0.32d,2.5,500,,26.57,Trade,CS 1x2,Trade,,Eurodollar Option 1-Year MC,,,99.77,99.775,0.15,Eurodollar and SOFR Options
10/31/2020,11:02:23,GE0,Oct20 99.750/99.875 CS 1x2 vs Eurodollar Future Dec21 99.775 -0.32d,2.5,500,,26.57,Trade,CS 1x2,Trade,,Eurodollar Option 1-Year MC,,,99.765,99.775,0.15,Eurodollar and SOFR Options
11/1/2020,11:01:05,GE0,Dec20 99.750/100.000 CS 1x2 vs Eurodollar Future Dec21 99.765 -0.35d,3,500,,35.7,Trade,CS 1x2,Trade,,Eurodollar Option 1-Year MC,,,99.765,99.77,-0.13,Eurodollar and SOFR Options
11/2/2020,10:59:38,GE,Sep20 99.7500 STRD,3.5,35,,15.08,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
11/3/2020,10:52:19,GE,Dec20 99.750 Call,3,150,,20.38,Trade,Call,Trade,,Eurodollar Option,,,99.71,99.715,0.37,Eurodollar and SOFR Options
11/4/2020,10:41:56,GE,Sep20 99.7500 STRD,3.5,98,,15.08,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
11/5/2020,10:41:50,GE,Sep20 99.7500 STRD,3.5,100,,15.08,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
11/6/2020,10:41:47,GE,Sep20 99.7500 STRD,3.5,302,,15.08,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
11/7/2020,10:41:37,GE,Sep20 99.7500 STRD,3.5,99,,15.08,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
11/8/2020,10:41:33,GE,Sep20 99.7500 STRD,3.5,101,,15.08,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
11/9/2020,10:41:26,GE,Sep20 99.7500 STRD,3.5,100,,15.08,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
11/10/2020,10:41:14,GE,Sep20 99.7500 STRD,3.5,100,,15.08,Trade,STRD,Trade,,Eurodollar Option,,,99.7625,99.765,0.26,Eurodollar and SOFR Options
11/11/2020,10:40:45,GE0,Sep20 99.875 STRD,9.5,100,,32.89,Trade,STRD,Trade,,Eurodollar Option 1-Year MC,,,99.795,99.8,-0.63,Eurodollar and SOFR Options
11/12/2020,10:40:32,GE3,Sep20 99.625 STRD,10,300,,47.18,Trade,STRD,Trade,,Eurodollar Option 3-Year MC,,,99.64,99.645,0.11,Eurodollar and SOFR Options
11/13/2020,10:40:20,GE3,Sep20 99.625 STRD,10,200,,47.18,Trade,STRD,Trade,,Eurodollar Option 3-Year MC,,,99.64,99.645,0.11,Eurodollar and SOFR Options
